"time","median","q025","q975","variable"
0,3,3,3,"I2"
1,3.9709260942148,2.44805419734292,7.10246488024047,"I2"
2,5.15241656910502,1.96313451111946,16.4550846664526,"I2"
3,6.53935666465797,1.54735739884982,37.2976351007958,"I2"
4,8.13970815635287,1.19901286123877,82.6483142190322,"I2"
5,9.917476836229,0.913540784731128,178.734816265217,"I2"
6,11.8140725260594,0.684505325277993,375.828692687691,"I2"
7,13.7819419409119,0.504474437597324,762.589532018902,"I2"
8,15.3073094550942,0.35810797758263,1072.54349816028,"I2"
9,16.806688295024,0.238178824520648,1768.12468483047,"I2"
10,16.5820246217261,0.149321997622196,2553.88524980446,"I2"
11,16.2562476252147,0.0866147793075297,2643.79955028407,"I2"
12,16.1016617120973,0.0394972731479864,3479.07187683824,"I2"
13,15.3874190790838,0.0174328068314331,3140.78335892091,"I2"
14,11.9842998930572,0.0094459691528574,2658.59315910466,"I2"
15,10.0591308900109,0.00407928342659315,2899.80759524517,"I2"
16,7.33676537924815,0.00156811165525485,2673.50447479586,"I2"
17,5.04294080280396,0.000565056198052174,1783.37096087968,"I2"
18,3.585874637049,0.000184798473570577,1773.32046131403,"I2"
19,2.80197914930158,6.8555036266763e-05,1414.45348141088,"I2"
20,2.34935415638765,2.26798814878254e-05,1212.64350740727,"I2"
21,1.58430516523438,7.36361202749949e-06,1107.78747183343,"I2"
22,0.988948670644895,2.3535156455222e-06,934.190366464917,"I2"
23,0.683471975707434,7.43177171574459e-07,814.254590156169,"I2"
24,0.466302464772466,2.34407908545882e-07,698.336933139555,"I2"
25,0.320146584797052,7.83393710964183e-08,584.957596049101,"I2"
26,0.227166384457747,2.56417830092503e-08,461.644327978328,"I2"
27,0.160248764925621,8.79938539339224e-09,369.071264083611,"I2"
28,0.111989848120108,1.61522234351369e-09,289.218981377698,"I2"
29,0.0739029983185763,1.38146623453606e-09,213.201332190131,"I2"
30,0.0474956718197261,4.82880144941722e-10,155.02937333877,"I2"
31,0.0285700839832576,1.27107590524349e-10,111.332529874353,"I2"
32,0.0173882170267843,1.12593640501163e-10,81.8693351244912,"I2"
33,0.0111762922472421,9.6911942246017e-12,65.236927599025,"I2"
34,0.00700929345395339,-7.16153061644251e-10,50.1958893985423,"I2"
35,0.0043011007464357,-5.11125230446866e-13,35.857561014819,"I2"
36,0.00269391699715874,4.23809358315084e-13,25.3168789593168,"I2"
37,0.00159819917360847,-3.59633326197062e-10,17.7013993389918,"I2"
38,0.000913239096844358,-2.44147400139762e-11,13.0853118171537,"I2"
39,0.000488819054963722,-1.39847615992318e-10,9.0594197556108,"I2"
40,0.00027157846185291,-3.39230773356943e-11,6.19535253321623,"I2"
41,0.000161350774809212,-1.09316169703927e-09,4.19753781265321,"I2"
42,9.51199954898895e-05,-1.78315807013062e-10,2.99988334441081,"I2"
43,5.35215501983107e-05,-7.15735157702477e-10,2.27170223599497,"I2"
44,2.9544721318431e-05,-2.86122323310601e-10,1.70320472645452,"I2"
45,1.65226610619516e-05,-1.18365176210815e-09,1.19434520715246,"I2"
46,9.1530749540482e-06,-2.14660212745295e-10,0.816680645069793,"I2"
47,5.02254321046015e-06,-1.43652518196568e-10,0.553157384963645,"I2"
48,2.6686605979981e-06,-5.43919237110346e-10,0.371166515477791,"I2"
49,1.42527537317191e-06,-3.30191860751105e-10,0.246752252824905,"I2"
50,7.4936506320934e-07,-6.59374563366585e-10,0.162545266774311,"I2"
51,4.01901555749198e-07,-3.66744734647805e-10,0.106019510637305,"I2"
